timestamp,voltage_ll_avg,current_avg,power_factor,active_power_kw,apparent_power_kva,reactive_power_kvar,active_energy_kwh,solar_voltage_ll_avg,solar_current_avg,solar_power_factor,solar_active_power_kw,solar_apparent_power_kva,solar_reactive_power_kvar,solar_active_energy_kwh,hour,minute,day_of_week,day_of_month,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,is_daylight,apparent_vs_active_ratio,reactive_power_ratio,voltage_deviation,solar_contribution_ratio,net_grid_power,energy_consumption,energy_lag_1,energy_lag_4,energy_lag_96,power_lag_1,power_lag_4,voltage_lag_1,energy_roll_mean_4,energy_roll_std_4,energy_roll_mean_24,power_roll_mean_4,power_roll_std_4
2025-12-16 15:00:00,430.092,3.624,0.955,2.574,2.586,-0.248,11589.803,429.355,28.179,-0.997,20.892,20.892,0.034,11589.803,15,0,1,16,12,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1,1.0046620046620047,0.09634809634809635,0.09041209973418063,0.8903093837893121,-18.317999999999998,,,,,,,,,,,2.574,
2025-12-16 15:15:00,428.267,2.935,0.912,1.984,1.996,-0.221,11607.53,429.355,28.179,-0.997,20.892,20.892,0.034,11589.803,15,15,1,16,12,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1,1.0060483870967742,0.11139112903225806,1.734587900265808,0.9132715509704494,-18.908,17.72700000000077,,,,2.574,,430.092,17.72700000000077,,17.72700000000077,2.279,0.41719300090006295
2025-12-16 16:45:00,420.927,1.557,0.912,1.038,1.065,-0.24,11607.908,419.161,5.874,0.97,4.138,4.14,-0.098,11607.53,16,45,1,16,12,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1,1.0260115606936415,0.23121387283236994,9.074587900265783,0.7994590417310664,-3.0999999999999996,0.3779999999987922,17.72700000000077,,,1.984,,428.267,9.052499999999782,12.267595546806811,9.052499999999782,1.8653333333333333,0.774845360916185
2025-12-16 17:00:00,421.163,1.506,0.908,1.0,1.031,-0.25,11608.928,419.474,4.944,0.934,3.355,3.358,-0.157,11607.908,17,0,1,16,12,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1,1.031,0.25,8.838587900265793,0.7703788748564867,-2.355,1.0200000000004366,0.3779999999987922,,,1.038,,420.927,6.375,9.83635953999312,6.375,1.649,0.7664576526679951
2025-12-16 17:30:00,426.228,0.907,0.851,0.572,0.635,-0.276,11608.964,424.047,2.769,0.191,0.388,0.389,-0.012,11608.928,17,30,1,16,12,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1,1.1101398601398602,0.4825174825174826,3.7735879002657953,0.4041666666666667,0.18399999999999994,0.03600000000005821,1.0200000000004366,,,1.0,2.574,421.163,4.7902500000000146,8.634140156958821,4.7902500000000146,1.1485,0.5957278461400531
2025-12-16 17:45:00,424.023,1.009,0.935,0.697,0.727,-0.206,11608.98,420.979,1.095,-0.075,0.06,0.278,0.272,11608.964,17,45,1,16,12,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1,1.043041606886657,0.29555236728837875,5.978587900265779,0.07926023778071335,0.637,0.01599999999962165,0.03600000000005821,17.72700000000077,,0.572,1.984,426.228,0.36249999999972715,0.4687611332013938,3.835399999999936,0.82675,0.22830881863534497
2025-12-16 18:00:00,423.142,1.112,0.941,0.769,0.799,-0.216,11608.996,421.081,1.1,-0.078,0.062,0.283,0.276,11608.98,18,0,1,16,12,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1.0390117035110533,0.2808842652795839,6.859587900265808,0.07460890493381468,0.7070000000000001,0.01599999999962165,0.01599999999962165,0.3779999999987922,,0.697,1.038,424.023,0.2719999999999345,0.4987557852633614,3.198833333333217,0.7595000000000001,0.17980823117977715
2025-12-16 18:15:00,425.871,1.074,0.943,0.75,0.778,-0.207,11609.011,423.808,1.111,-0.076,0.062,0.285,0.278,11608.996,18,15,1,16,12,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1.0373333333333334,0.27599999999999997,4.130587900265823,0.07635467980295566,0.688,0.015000000001236913,0.01599999999962165,1.0200000000004366,,0.769,1.0,423.142,0.020750000000134605,0.01017758976049746,2.744000000000077,0.6970000000000001,0.08872804892854835
2025-12-16 18:30:00,426.836,1.088,0.94,0.758,0.787,-0.211,11609.027,424.885,1.121,-0.072,0.06,0.265,0.259,11609.011,18,30,1,16,12,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1.0382585751978892,0.2783641160949868,3.165587900265791,0.07334963325183373,0.698,0.01599999999962165,0.015000000001236913,0.03600000000005821,,0.75,0.572,425.871,0.015750000000025466,0.0005000000005982118,2.40300000000002,0.7435,0.031963520874066044
2025-12-16 18:45:00,425.278,1.079,0.939,0.749,0.778,-0.21,11609.041,423.29,1.109,-0.076,0.062,0.256,0.248,11609.027,18,45,1,16,12,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1.0387182910547397,0.2803738317757009,4.723587900265784,0.07644882860665846,0.687,0.013999999999214197,0.01599999999962165,0.01599999999962165,,0.758,0.697,426.836,0.015249999999923602,0.0009574271085274012,2.137555555555486,0.7565,0.009255628917953219
